# command int_pops obj_pops long_pops int_pushes obj_pushes long_pushes
# generated by scripts/extract-stack-effects.py from the client ScriptRunner
_enum 4 0 0 1 1 0
abs 1 0 0 1 0 0
activechatphrase_prepare 1 0 0 0 0 0
activechatphrase_send 1 0 0 0 0 0
activechatphrase_sendprivate 0 1 0 0 0 0
activechatphrase_setdynamicint 2 0 0 0 0 0
activechatphrase_setdynamicobj 2 0 0 0 0 0
activeclanchannel_find_affined 0 0 0 2 0 0
activeclanchannel_find_listened 0 0 0 2 0 0
activeclanchannel_getclanname 0 0 0 0 1 0
activeclanchannel_getrankkick 0 0 0 1 0 0
activeclanchannel_getranktalk 0 0 0 1 0 0
activeclanchannel_getusercount 0 0 0 1 0 0
activeclanchannel_getuserdisplayname 1 0 0 0 1 0
activeclanchannel_getuserrank 1 0 0 1 0 0
activeclanchannel_getuserslot 0 1 0 1 0 0
activeclanchannel_getuserworld 1 0 0 1 0 0
activeclanchannel_kickuser 1 0 0 0 0 0
activeclansettings_find_affined 0 0 0 2 0 0
activeclansettings_find_listened 0 0 0 2 0 0
activeclansettings_getaffinedcount 0 0 0 1 0 0
activeclansettings_getaffineddisplayname 1 0 0 0 1 0
activeclansettings_getaffinedextrainfo 3 0 0 1 0 0
activeclansettings_getaffinedjoinruneday 1 0 0 1 0 0
activeclansettings_getaffinedmuted 1 0 0 1 0 0
activeclansettings_getaffinedrank 1 0 0 1 0 0
activeclansettings_getaffinedslot 0 1 0 1 0 0
activeclansettings_getallowunaffined 0 0 0 1 0 0
activeclansettings_getbannedcount 0 0 0 1 0 0
activeclansettings_getbanneddisplayname 1 0 0 0 1 0
activeclansettings_getclanname 0 0 0 0 1 0
activeclansettings_getcoinshare 0 0 0 1 0 0
activeclansettings_getcurrentowner_slot 0 0 0 1 0 0
activeclansettings_getrankkick 0 0 0 1 0 0
activeclansettings_getranklootshare 0 0 0 1 0 0
activeclansettings_getranktalk 0 0 0 1 0 0
activeclansettings_getreplacementowner_slot 0 0 0 1 0 0
add 2 0 0 1 0 0
addpercent 2 0 0 1 0 0
affiliate 0 0 0 1 0 0
affinedclansettings_addbanned_fromchannel 1 0 0 0 0 0
affinedclansettings_setmuted_fromchannel 2 0 0 0 0 0
and 2 0 0 1 0 0
append 0 2 0 0 1 0
append_char 1 1 0 0 1 0
append_num 1 1 0 0 1 0
append_signnum 1 1 0 0 1 0
applet_hasfocus 0 0 0 1 0 0
applyDisplayPreference 3 0 0 0 0 0
atan2_deg 2 0 0 1 0 0
automatedtestflags 0 0 0 2 0 0
autosetup_dosetup 0 0 0 2 0 0
autosetup_dosetupstatus 0 0 0 2 0 0
autosetup_getlevel 0 0 0 1 0 0
basecolour 2 0 0 0 0 0
basematerial 2 0 0 0 0 0
battery_getlevelpercent 0 0 0 1 0 0
battery_ischarging 0 0 0 1 0 0
branch_equals 2 0 0 0 0 0
branch_greater_than 2 0 0 0 0 0
branch_greater_than_or_equals 2 0 0 0 0 0
branch_if_false 1 0 0 0 0 0
branch_if_true 1 0 0 0 0 0
branch_less_than 2 0 0 0 0 0
branch_less_than_or_equals 2 0 0 0 0 0
branch_not 2 0 0 0 0 0
bug_report 1 2 0 0 0 0
cam2_addeffect_shake 3 0 0 1 0 0
cam2_addeffect_ztilt 1 0 0 1 0 0
cam2_enable 1 0 0 0 0 0
cam2_getcontrolmode 0 0 0 1 0 0
cam2_getlookatmode 0 0 0 1 0 0
cam2_getpositionentity_angleoffsets 0 0 0 2 0 0
cam2_getpositionentity_lookatangle 0 0 0 1 0 0
cam2_getpositionentity_lookatangleoffsets 1 0 0 2 0 0
cam2_getpositionentity_lookatdistance 0 0 0 1 0 0
cam2_getpositionmode 0 0 0 1 0 0
cam2_getpositionpoint_point 0 0 0 0 1 0
cam2_isenabled 0 0 0 1 0 0
cam2_legacycam_ready 0 0 0 1 0 0
cam2_removeeffect 1 0 0 0 0 0
cam2_setlookatorientation_maxdistanceclamping 6 1 0 0 0 0
cam2_setlookatorientation_vector 3 0 0 0 0 0
cam2_setlookatorientation_xmovement 1 0 0 0 0 0
cam2_setlookatorientation_xrotation 1 0 0 0 0 0
cam2_setlookatorientation_yrotation 1 0 0 0 0 0
cam2_setlookatorientation_zmovement 1 0 0 0 0 0
cam2_setlookatpoint_point 0 1 0 0 0 0
cam2_setpositionpoint_point 0 1 0 0 0 0
cam2_setpositionpointcollision 1 0 0 0 0 0
cam2_updateeffect_ztilt 2 0 0 0 0 0
cam_followcoord 1 0 0 0 0 0
cam_forceangle 2 0 0 0 0 0
cam_getangle_xa 0 0 0 1 0 0
cam_getangle_ya 0 0 0 2 0 0
cam_getfollowheight 0 0 0 1 0 0
cam_lookat 4 0 0 0 0 0
cam_modeisfollowplayer 0 0 0 1 0 0
cam_movealong 6 0 0 0 0 0
cam_moveto 4 0 0 0 0 0
cam_removeroof 1 0 0 0 0 0
cam_setfollowheight 1 0 0 0 0 0
can_run_java_client 0 0 0 1 0 0
cc_addpinchflags 1 0 0 0 0 0
cc_addswipeflags 1 0 0 0 0 0
cc_create 3 0 0 0 0 0
cc_deleteall 1 0 0 0 0 0
cc_delpinchflags 1 0 0 0 0 0
cc_delswipeflags 1 0 0 0 0 0
cc_dragpickup 2 0 0 0 0 0
cc_find 2 0 0 1 0 0
cc_get2dangle 0 0 0 1 0 0
cc_getcolour 0 0 0 1 0 0
cc_getfontgraphic 0 0 0 1 0 0
cc_getfontmetrics 0 0 0 1 0 0
cc_getgraphic 0 0 0 1 0 0
cc_getgraphicdimensions 0 0 0 2 0 0
cc_getheight 0 0 0 1 0 0
cc_gethide 0 0 0 1 0 0
cc_getid 0 0 0 1 0 0
cc_getinvcount 0 0 0 2 0 0
cc_getinvobject 0 0 0 1 0 0
cc_getlayer 0 0 0 1 0 0
cc_getmodel 0 0 0 1 0 0
cc_getmodelangle_x 0 0 0 1 0 0
cc_getmodelangle_y 0 0 0 1 0 0
cc_getmodelangle_z 0 0 0 1 0 0
cc_getmodelxof 0 0 0 1 0 0
cc_getmodelyof 0 0 0 1 0 0
cc_getmodelzoom 0 0 0 1 0 0
cc_getop 1 0 0 0 2 0
cc_getopbase 0 0 0 0 2 0
cc_getparentlayer 0 0 0 1 0 0
cc_getscrollheight 0 0 0 1 0 0
cc_getscrollwidth 0 0 0 1 0 0
cc_getscrollx 0 0 0 1 0 0
cc_getscrolly 0 0 0 1 0 0
cc_gettargetmask 0 0 0 1 0 0
cc_gettext 0 0 0 0 1 0
cc_gettrans 0 0 0 1 0 0
cc_getwidth 0 0 0 1 0 0
cc_getx 0 0 0 1 0 0
cc_gety 0 0 0 1 0 0
cc_param 1 0 0 1 1 0
cc_setlinkplayergroup 1 0 0 0 0 0
cc_setparam 2 0 0 0 0 0
cc_setpinchdeadzone 1 0 0 0 0 0
cc_setpinchflags 1 0 0 0 0 0
cc_setsubtractinsets 1 0 0 0 0 0
cc_setswipedeadtime 1 0 0 0 0 0
cc_setswipedeadzone 1 0 0 0 0 0
cc_setswipeflags 1 0 0 0 0 0
cc_triggerop 1 0 0 0 0 0
char_isalpha 1 0 0 1 0 0
char_isalphanumeric 1 0 0 1 0 0
char_isnumeric 1 0 0 1 0 0
char_isprintable 1 0 0 1 0 0
char_isvalid 1 0 0 1 0 0
char_tolowercase 1 0 0 1 0 0
char_touppercase 1 0 0 1 0 0
chat_getfilter_private 0 0 0 2 0 0
chat_getfilter_public 0 0 0 1 0 0
chat_getfilter_trade 0 0 0 1 0 0
chat_gethistory_bytypeandline 2 0 0 8 12 0
chat_gethistory_byuid 1 0 0 8 12 0
chat_gethistorylength 1 0 0 1 0 0
chat_getnextuid 1 0 0 1 0 0
chat_getprevuid 1 0 0 1 0 0
chat_lastuid 0 0 0 1 0 0
chat_playername 0 0 0 0 1 0
chat_playername_unfiltered 0 0 0 0 1 0
chat_sendabusereport 2 2 0 0 0 0
chat_sendprivate 0 2 0 0 0 0
chat_sendpublic 0 1 0 0 0 0
chat_setfilter 3 0 0 0 0 0
chat_setmode 1 0 0 0 0 0
chatcat_findphrasebyshortcut 2 0 0 2 0 0
chatcat_findsubcatbyshortcut 2 0 0 2 0 0
chatcat_getdesc 1 0 0 0 1 0
chatcat_getphrase 2 0 0 1 0 0
chatcat_getphrasecount 1 0 0 2 0 0
chatcat_getphraseshortcut 2 0 0 1 0 0
chatcat_getsubcat 2 0 0 1 0 0
chatcat_getsubcatcount 1 0 0 2 0 0
chatcat_getsubcatshortcut 2 0 0 1 0 0
chatphrase_find 1 1 0 1 0 0
chatphrase_findnext 0 0 0 2 0 0
chatphrase_getautoresponse 2 0 0 1 0 0
chatphrase_getautoresponsecount 1 0 0 2 0 0
chatphrase_getdynamiccommand 2 0 0 1 0 0
chatphrase_getdynamiccommandcount 1 0 0 1 0 0
chatphrase_getdynamiccommandparam_enum 3 0 0 1 0 0
chatphrase_gettext 1 0 0 0 1 0
clan_getchatcount 0 0 0 2 0 0
clan_getchatdisplayname 0 0 0 0 2 0
clan_getchatminkick 0 0 0 1 0 0
clan_getchatownername 0 0 0 0 2 0
clan_getchatrank 0 0 0 1 0 0
clan_getchatusername 1 0 0 0 2 0
clan_getchatusername_unfiltered 1 0 0 0 2 0
clan_getchatuserrank 1 0 0 2 0 0
clan_getchatuserworld 1 0 0 2 0 0
clan_getchatuserworldname 1 0 0 0 2 0
clan_isself 1 0 0 2 0 0
clan_joinchat 0 1 0 0 0 0
clan_kickuser 0 1 0 0 0 0
clanforumqfc_tostring 0 0 1 0 1 0
clanprofile_find 0 0 0 1 0 0
clearbit 2 0 0 1 0 0
clearbit_range 3 0 0 1 0 0
clientclock 0 0 0 1 0 0
clienttype 0 0 0 1 0 0
comlevel_active 0 0 0 1 0 0
compare 0 2 0 1 0 0
coord 0 0 0 1 0 0
coord_fine 0 0 0 0 1 0
coord_finetogrid 0 1 0 1 0 0
coord_gridtofine 2 0 0 0 1 0
coordlevel_fine 0 1 0 1 0 0
coordx 1 0 0 1 0 0
coordx_fine 0 1 0 1 0 0
coordy 1 0 0 1 0 0
coordy_fine 0 1 0 1 0 0
coordz 1 0 0 1 0 0
coordz_fine 0 1 0 1 0 0
create_availablerequest 0 1 0 0 0 0
create_connect_reply 0 0 0 1 0 0
create_createrequest 2 3 0 0 0 0
create_email_validate_reply 0 0 0 1 0 0
create_get_email 0 0 0 0 2 0
create_name_availablerequest 0 1 0 0 0 0
create_name_validate_reply 0 0 0 1 0 0
create_reply 0 0 0 1 0 0
create_step_reached 1 0 0 0 0 0
create_suggest_name_reply 0 0 0 1 1 0
create_under13 0 0 0 1 0 0
date_isleapyear 1 0 0 1 0 0
date_minutes 0 0 0 1 0 0
date_minutes_fromruneday 1 0 0 1 0 0
date_runeday 0 0 0 1 0 0
date_runeday_fromdate 3 0 0 1 0 0
date_runeday_todate 1 0 0 3 0 0
date_year 0 0 0 1 0 0
db_find_get 1 0 0 1 0 0
db_find_refine 2 0 0 1 0 0
db_findnext 0 0 0 2 0 0
db_getfieldcount 2 0 0 1 0 0
db_getrowtable 1 0 0 1 0 0
db_listall 1 0 0 1 0 0
detail_ambientocclusion 1 0 0 0 0 0
detail_animdetail 1 0 0 0 0 0
detail_anisotropicfiltering 1 0 0 0 0 0
detail_antialiasing 1 0 0 0 0 0
detail_antialiasing_default 1 0 0 0 0 0
detail_antialiasingmode 1 0 0 0 0 0
detail_bgsoundvol 1 0 0 0 0 0
detail_bloom 1 0 0 0 0 0
detail_brightness 1 0 0 0 0 0
detail_buildarea 1 0 0 0 0 0
detail_cpuusage 1 0 0 0 0 0
detail_customcursors 1 0 0 0 0 0
detail_diskcachesize 1 0 0 0 0 0
detail_dof 1 0 0 0 0 0
detail_drawdistance 1 0 0 0 0 0
detail_flickering_on 1 0 0 0 0 0
detail_fog_on 1 0 0 0 0 0
detail_gamerenderscale 1 0 0 0 0 0
detail_groundblending 1 0 0 0 0 0
detail_grounddecor_on 1 0 0 0 0 0
detail_hardshadows 1 0 0 0 0 0
detail_idleanims 1 0 0 0 0 0
detail_idleanims_many 1 0 0 0 0 0
detail_interfacescale 1 0 0 0 0 0
detail_lightdetail_high 1 0 0 0 0 0
detail_lightingquality 1 0 0 0 0 0
detail_loadingscreentype 1 0 0 0 0 0
detail_loginvol 1 0 0 0 0 0
detail_maxbackgroundfps 1 0 0 0 0 0
detail_maxforegroundfps 1 0 0 0 0 0
detail_maxscreensize 1 0 0 0 0 0
detail_musicvol 1 0 0 0 0 0
detail_particles 1 0 0 0 0 0
detail_reflections 1 0 0 0 0 0
detail_removeroofs_option 1 0 0 0 0 0
detail_removeroofs_option_override 1 0 0 0 0 0
detail_shadowquality 1 0 0 0 0 0
detail_shadows 1 0 0 0 0 0
detail_skydetail 1 0 0 0 0 0
detail_soundvol 1 0 0 0 0 0
detail_speechvol 1 0 0 0 0 0
detail_spotshadows_on 1 0 0 0 0 0
detail_stereo 1 0 0 0 0 0
detail_texturing 1 0 0 0 0 0
detail_toolkit 1 0 0 0 0 0
detail_toolkit_default 2 0 0 0 0 0
detail_volumetriclighting 1 0 0 0 0 0
detail_vsync 1 0 0 0 0 0
detail_waterdetail_high 1 0 0 0 0 0
detailcanmod_ambientocclusion 0 0 0 1 0 0
detailcanmod_animdetail 0 0 0 1 0 0
detailcanmod_anisotropicfiltering 0 0 0 1 0 0
detailcanmod_antialiasing 0 0 0 1 0 0
detailcanmod_antialiasingmode 0 0 0 1 0 0
detailcanmod_bloom 0 0 0 1 0 0
detailcanmod_buildarea 0 0 0 1 0 0
detailcanmod_dof 0 0 0 1 0 0
detailcanmod_fog 0 0 0 1 0 0
detailcanmod_gamerenderscale 0 0 0 1 0 0
detailcanmod_groundblending 0 0 0 1 0 0
detailcanmod_grounddecor 0 0 0 1 0 0
detailcanmod_hardshadows 0 0 0 1 0 0
detailcanmod_interfacescale 0 0 0 1 0 0
detailcanmod_lightingquality 0 0 0 1 0 0
detailcanmod_maxbackgroundfps 0 0 0 1 0 0
detailcanmod_maxforegroundfps 0 0 0 1 0 0
detailcanmod_maxscreensize 0 0 0 1 0 0
detailcanmod_orthographic 0 0 0 1 0 0
detailcanmod_particles 0 0 0 1 0 0
detailcanmod_reflections 0 0 0 1 0 0
detailcanmod_shadowquality 0 0 0 1 0 0
detailcanmod_shadows 0 0 0 1 0 0
detailcanmod_skydetail 0 0 0 1 0 0
detailcanmod_spotshadows 0 0 0 1 0 0
detailcanmod_texturing 0 0 0 1 0 0
detailcanmod_toolkit_default 0 0 0 1 0 0
detailcanmod_volumetriclighting 0 0 0 1 0 0
detailcanmod_vsync 0 0 0 1 0 0
detailcanmod_waterdetail 0 0 0 1 0 0
detailcanset_ambientocclusion 0 0 0 1 0 0
detailcanset_animdetail 1 0 0 1 0 0
detailcanset_anisotropicfiltering 0 0 0 1 0 0
detailcanset_antialiasing 1 0 0 2 0 0
detailcanset_antialiasingmode 0 0 0 1 0 0
detailcanset_bloom 1 0 0 2 0 0
detailcanset_buildarea 1 0 0 1 0 0
detailcanset_dof 1 0 0 1 0 0
detailcanset_fog 1 0 0 1 0 0
detailcanset_gamerenderscale 1 0 0 1 0 0
detailcanset_groundblending 1 0 0 1 0 0
detailcanset_grounddecor 1 0 0 1 0 0
detailcanset_hardshadows 1 0 0 1 0 0
detailcanset_interfacescale 1 0 0 1 0 0
detailcanset_lightingquality 0 0 0 1 0 0
detailcanset_maxbackgroundfps 0 0 0 1 0 0
detailcanset_maxforegroundfps 0 0 0 1 0 0
detailcanset_maxscreensize 1 0 0 1 0 0
detailcanset_orthographic 1 0 0 1 0 0
detailcanset_particles 1 0 0 1 0 0
detailcanset_reflections 0 0 0 1 0 0
detailcanset_shadowquality 1 0 0 1 0 0
detailcanset_shadows 0 0 0 1 0 0
detailcanset_skydetail 1 0 0 1 0 0
detailcanset_spotshadows 1 0 0 1 0 0
detailcanset_texturing 1 0 0 1 0 0
detailcanset_toolkit_default 1 0 0 1 0 0
detailcanset_volumetriclighting 0 0 0 1 0 0
detailcanset_vsync 0 0 0 1 0 0
detailcanset_waterdetail 1 0 0 1 0 0
detailget_ambientocclusion 0 0 0 1 0 0
detailget_animdetail 0 0 0 1 0 0
detailget_anisotropicfiltering 0 0 0 1 0 0
detailget_antialiasing 0 0 0 1 0 0
detailget_antialiasing_default 0 0 0 1 0 0
detailget_antialiasingmode 0 0 0 1 0 0
detailget_bgsoundvol 0 0 0 1 0 0
detailget_bloom 0 0 0 1 0 0
detailget_brightness 0 0 0 1 0 0
detailget_buildarea 0 0 0 1 0 0
detailget_canchoosesafemode 0 0 0 1 0 0
detailget_chosesafemode 0 0 0 1 0 0
detailget_cpuusage 0 0 0 1 0 0
detailget_customcursors 0 0 0 1 0 0
detailget_diskcachesize 0 0 0 1 0 0
detailget_dof 0 0 0 1 0 0
detailget_drawdistance 0 0 0 1 0 0
detailget_flickering_on 0 0 0 1 0 0
detailget_fog_on 0 0 0 1 0 0
detailget_gamerenderscale 0 0 0 1 0 0
detailget_groundblending 0 0 0 1 0 0
detailget_grounddecor_on 0 0 0 1 0 0
detailget_hardshadows 0 0 0 1 0 0
detailget_idleanims 0 0 0 1 0 0
detailget_idleanims_many 0 0 0 1 0 0
detailget_interfacescale 0 0 0 1 0 0
detailget_lightdetail_high 0 0 0 1 0 0
detailget_lightingquality 0 0 0 1 0 0
detailget_loadingscreentype 0 0 0 1 0 0
detailget_loginvol 0 0 0 1 0 0
detailget_maxbackgroundfps 0 0 0 1 0 0
detailget_maxdiskcachesize 0 0 0 1 0 0
detailget_maxforegroundfps 0 0 0 1 0 0
detailget_maxscreensize 0 0 0 1 0 0
detailget_mindiskcachesize 0 0 0 1 0 0
detailget_musicvol 0 0 0 1 0 0
detailget_orthographic 0 0 0 1 0 0
detailget_particles 0 0 0 1 0 0
detailget_performance_metric 0 0 0 1 0 0
detailget_recommendeddiskcachesize 0 0 0 1 0 0
detailget_reflections 0 0 0 1 0 0
detailget_removeroofs_option 0 0 0 1 0 0
detailget_safemode 0 0 0 1 0 0
detailget_shadowquality 0 0 0 1 0 0
detailget_shadows 0 0 0 1 0 0
detailget_skydetail 0 0 0 1 0 0
detailget_soundvol 0 0 0 1 0 0
detailget_speechvol 0 0 0 1 0 0
detailget_spotshadows_on 0 0 0 1 0 0
detailget_stereo 0 0 0 1 0 0
detailget_texturing 0 0 0 1 0 0
detailget_toolkit 0 0 0 1 0 0
detailget_toolkit_default 0 0 0 1 0 0
detailget_volumetriclighting 0 0 0 1 0 0
detailget_vsync 0 0 0 1 0 0
detailget_waterdetail_high 0 0 0 1 0 0
discardCurrentSwipeSettingArg 1 0 0 0 0 0
discardDetailSettingPair 2 0 0 0 0 0
discardDisplayBounds 4 0 0 0 0 0
discardDisplaySettingPair 2 0 0 0 0 0
discardDragResizePair 2 0 0 0 0 0
discardDragTarget 1 0 0 0 0 0
discardDragTargetPair 2 0 0 0 0 0
discardFontArg 1 0 0 0 0 0
discardFourInterfaceArgs 4 0 0 0 0 0
discardInterfaceArg 1 0 0 0 0 0
discardInterfaceTargetArg 1 0 0 0 0 0
discardLogoutArg 1 0 0 0 0 0
discardNotificationGroup 0 1 0 0 0 0
discardThreeInterfaceArgs 3 0 0 0 0 0
discardWorldMapMenuAction 2 1 0 0 0 0
divide 2 0 0 1 0 0
docheat 0 1 0 0 0 0
email_validation_add_new_address 3 1 0 0 0 0
email_validation_change_address 0 2 0 0 0 0
email_validation_submit_code 0 1 0 0 0 0
emoji_add 2 1 0 0 0 0
emoji_enable_auto_chatline 1 0 0 0 0 0
emoji_remove 0 1 0 0 0 0
emoji_substitute 0 1 0 0 1 0
enum_getoutputcount 1 0 0 1 0 0
enum_getreversecount 3 0 0 1 0 0
enum_getreversecount_string 1 1 0 1 0 0
enum_getreverseindex 5 0 0 1 0 0
enum_getreverseindex_string 3 1 0 1 0 0
enum_hasoutput 3 0 0 1 0 0
enum_hasoutput_string 1 1 0 1 0 0
enum_string 2 0 0 0 1 0
escape 0 1 0 0 1 0
facing_fine 0 0 0 1 0 0
format_datetime_from_minutes 1 0 0 0 1 0
formatminimenu 12 0 0 0 0 0
fps_stats 0 0 0 3 0 0
friend_add 0 1 0 0 0 0
friend_count 0 0 0 3 0 0
friend_del 0 1 0 0 0 0
friend_getname 1 0 0 0 5 0
friend_getnotes 1 0 0 0 2 0
friend_getrank 1 0 0 2 0 0
friend_getslotfromname 0 1 0 1 0 0
friend_getworld 1 0 0 2 0 0
friend_getworldflags 1 0 0 2 0 0
friend_getworldname 1 0 0 0 2 0
friend_is_referred 1 0 0 2 0 0
friend_is_referrer 1 0 0 2 0 0
friend_platform 1 0 0 2 0 0
friend_setnotes 0 2 0 0 0 0
friend_setrank 1 1 0 0 0 0
friend_test 0 1 0 1 0 0
frombilling 0 0 0 1 0 0
fromdate 1 0 0 0 1 0
fullscreen_enter 2 0 0 2 0 0
fullscreen_getmode 1 0 0 4 0 0
fullscreen_modecount 0 0 0 2 0 0
gender 0 0 0 1 0 0
get_col_tag 1 0 0 0 1 0
get_currentcursor 0 0 0 1 0 0
get_displayname_withextras 0 0 0 0 1 0
get_entity_overlay_height 0 0 0 1 0 0
get_entity_say 0 0 0 0 2 0
get_entity_screen_position 1 0 0 3 0 0
get_loc_overlay_height 0 0 0 1 0 0
get_loc_screen_position 1 0 0 3 0 0
get_minimenu_length 0 0 0 2 0 0
get_minimenu_target 0 0 0 1 2 0
get_mousebuttons 0 0 0 3 0 0
get_mousex 0 0 0 1 0 0
get_mousey 0 0 0 1 0 0
get_npc_name 0 0 0 0 1 0
